epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
7,8.64342,0.38211,0.6267,0.83021,0.97707,0.55987,0.96732,0.91874,0.33196,1.86796,0.78407,0.000794205,0.000794205,0.000794205
8,9.77354,0.362,0.56992,0.82353,0.97299,0.85884,0.98225,0.93516,0.32124,1.39599,0.78101,0.000899587,0.000899587,0.000899587
9,10.9311,0.34376,0.56877,0.82058,0.96904,0.96322,0.99265,0.95689,0.30382,1.06744,0.77929,0.00100255,0.00100255,0.00100255
10,12.0913,0.33784,0.51668,0.81756,0.98251,0.98988,0.99107,0.95622,0.28689,0.75538,0.77815,0.00101201,0.00101201,0.00101201
11,13.218,0.33317,0.51927,0.81409,0.93921,0.95712,0.99261,0.94827,0.30855,0.80748,0.77884,0.00100101,0.00100101,0.00100101
12,14.3405,0.32855,0.50499,0.81219,0.98279,0.99762,0.99213,0.9735,0.2494,0.58992,0.77291,0.000990012,0.000990012,0.000990012
13,15.4596,0.33042,0.48153,0.8241,0.99395,0.99762,0.993,0.95771,0.27571,0.48862,0.77894,0.000979013,0.000979013,0.000979013
14,16.5678,0.31827,0.46046,0.81546,0.99627,0.99762,0.99302,0.97137,0.25307,0.3857,0.77541,0.000968014,0.000968014,0.000968014
15,17.7178,0.3067,0.45079,0.80941,0.99726,0.99762,0.99302,0.97864,0.2399,0.37414,0.77456,0.000957015,0.000957015,0.000957015
16,18.8396,0.2945,0.45446,0.81693,0.998,0.99762,0.99302,0.97305,0.24885,0.39273,0.77483,0.000946016,0.000946016,0.000946016
17,20.0683,0.32789,0.45094,0.81014,0.9982,0.9975,0.99302,0.96427,0.27062,0.36096,0.77718,0.000935018,0.000935018,0.000935018
18,21.1446,0.32276,0.4312,0.8154,0.99847,0.99762,0.99302,0.97417,0.24094,0.33975,0.7751,0.000924019,0.000924019,0.000924019
19,22.244,0.30415,0.42744,0.81522,0.9981,0.99744,0.99302,0.98536,0.20718,0.3141,0.77316,0.00091302,0.00091302,0.00091302
20,23.3773,0.2915,0.41724,0.81566,0.99861,0.99762,0.99302,0.98064,0.22729,0.31308,0.77405,0.000902021,0.000902021,0.000902021
21,24.4946,0.30221,0.41119,0.80966,0.99885,0.99762,0.99302,0.98144,0.21838,0.30171,0.77522,0.000891022,0.000891022,0.000891022
22,25.5909,0.2816,0.39947,0.81898,0.9986,0.99762,0.99302,0.98892,0.2042,0.30491,0.77297,0.000880023,0.000880023,0.000880023
23,26.7077,0.28015,0.39379,0.8105,0.99891,0.99762,0.99302,0.98731,0.20198,0.29213,0.77107,0.000869024,0.000869024,0.000869024
24,27.8467,0.27088,0.38552,0.81208,0.99848,0.99762,0.99302,0.98717,0.2043,0.28093,0.77285,0.000858025,0.000858025,0.000858025
25,28.9473,0.26522,0.38648,0.81505,0.99896,0.99762,0.99302,0.98887,0.19066,0.27288,0.77045,0.000847026,0.000847026,0.000847026
26,30.1541,0.26387,0.37551,0.80656,0.99887,0.99762,0.99302,0.99051,0.18385,0.26861,0.77152,0.000836027,0.000836027,0.000836027
27,31.2868,0.27803,0.37299,0.80849,0.99843,0.99716,0.99302,0.98572,0.20356,0.27504,0.77216,0.000825029,0.000825029,0.000825029
28,32.4016,0.28044,0.38234,0.81193,0.9986,0.99762,0.99302,0.98755,0.19398,0.26111,0.77214,0.00081403,0.00081403,0.00081403
